inclusion_index,inclusion_code,inclusion_code_decimal
1,A60,A60
2,A54,A54
3,N739,N73.9
4,S302,S30.2
5,Z044,Z04.4
6,NA,NA
7,H356,H35.6
8,S2230,S22.30
8,S2231,S22.31
9,NA,NA
10,S065,S06.5
11,S068,S06.8
12,S3631,S36.31
13,X93-X96,NA
13,X99,X99
13,Y00,Y00
14,Y09,Y09
15,"Y19,Y26,Y27,Y31-Y34",NA
16,S020,S02.0
17,"S12.0,S12.1,S12.2,S12.7,S12.9,S22.0,S22.1,S32.0,S32.7",NA
18,S066,S06.6
19,S277-S279,NA
20,S3640,S36.40
20,S3641,S36.41
21,S360,S36.0
22,"S140,S141,S240,S241,S340,S341,T060,T061,T093",NA
23,E43,E043
24,K02,K02
25,L578,L57.8
26,"S321-S328,T021",NA
27,S270-S272,NA
28,"S26, S273-S276",NA
29,"S362,S368,S369",NA
30,S361,S36.1
31,S370,S37.0
32,T20,T20
33,T21,T21
34,"T24,T25",NA
35,T29,T29
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
36,T36-T50,NA
37,T751,T75.1
38,NA,NA
39,W67-W70,NA
40,"W65,W66",NA
41,W73,W73
42,W74,W74
43,Y04,Y04
44,Y10-Y19,NA
45,Y22-Y25,NA
46,Z59,Z59
