"qualifying_code","any_other_required"
"E869.4","480.0"
"E869.4","480.00"
"E869.4","480.01"
"E869.4","480.02"
"E869.4","480.03"
"E869.4","480.04"
"E869.4","480.05"
"E869.4","480.06"
"E869.4","480.07"
"E869.4","480.08"
"E869.4","480.09"
"E869.4","480.1"
"E869.4","480.10"
"E869.4","480.11"
"E869.4","480.12"
"E869.4","480.13"
"E869.4","480.14"
"E869.4","480.15"
"E869.4","480.16"
"E869.4","480.17"
"E869.4","480.18"
"E869.4","480.19"
"E869.4","480.2"
"E869.4","480.20"
"E869.4","480.21"
"E869.4","480.22"
"E869.4","480.23"
"E869.4","480.24"
"E869.4","480.25"
"E869.4","480.26"
"E869.4","480.27"
"E869.4","480.28"
"E869.4","480.29"
"E869.4","480.3"
"E869.4","480.30"
"E869.4","480.31"
"E869.4","480.32"
"E869.4","480.33"
"E869.4","480.34"
"E869.4","480.35"
"E869.4","480.36"
"E869.4","480.37"
"E869.4","480.38"
"E869.4","480.39"
"E869.4","480.4"
"E869.4","480.40"
"E869.4","480.41"
"E869.4","480.42"
"E869.4","480.43"
"E869.4","480.44"
"E869.4","480.45"
"E869.4","480.46"
"E869.4","480.47"
"E869.4","480.48"
"E869.4","480.49"
"E869.4","480.5"
"E869.4","480.50"
"E869.4","480.51"
"E869.4","480.52"
"E869.4","480.53"
"E869.4","480.54"
"E869.4","480.55"
"E869.4","480.56"
"E869.4","480.57"
"E869.4","480.58"
"E869.4","480.59"
"E869.4","480.6"
"E869.4","480.60"
"E869.4","480.61"
"E869.4","480.62"
"E869.4","480.63"
"E869.4","480.64"
"E869.4","480.65"
"E869.4","480.66"
"E869.4","480.67"
"E869.4","480.68"
"E869.4","480.69"
"E869.4","480.7"
"E869.4","480.70"
"E869.4","480.71"
"E869.4","480.72"
"E869.4","480.73"
"E869.4","480.74"
"E869.4","480.75"
"E869.4","480.76"
"E869.4","480.77"
"E869.4","480.78"
"E869.4","480.79"
"E869.4","480.8"
"E869.4","480.80"
"E869.4","480.81"
"E869.4","480.82"
"E869.4","480.83"
"E869.4","480.84"
"E869.4","480.85"
"E869.4","480.86"
"E869.4","480.87"
"E869.4","480.88"
"E869.4","480.89"
"E869.4","480.9"
"E869.4","480.90"
