"exclude_if_any","description_icd9"
"009.0","Infections of the gastrointestinal tract"
"042","HIV disease"
"271.3","Lactose intolerance"
"277.00","Cystic fibrosis"
"431","Intracerebral hemorrhage"
"530.81","Gastroesophageal reflux"
"577.8","Pancreatic insufficiency"
"588.8","Renal tubular acidosis"
"593.9","Chronic renal insufficiency"
"599.0","Urinary tract infection"
"750.5","Pyloric stenosis"
"751.3","Hirschsprung's disease"
"760.71","Fetal alcohol syndrome"
"767.0","Birth trauma: subdural/cerebral hemorrhage"
"770.7","Bronchopulmonary dysplasia"
"010.0","Tuberculosis"
"010.00","Tuberculosis"
"010.01","Tuberculosis"
"010.02","Tuberculosis"
"010.03","Tuberculosis"
"010.04","Tuberculosis"
"010.05","Tuberculosis"
"010.06","Tuberculosis"
"010.07","Tuberculosis"
"010.08","Tuberculosis"
"010.09","Tuberculosis"
"010.1","Tuberculosis"
"010.10","Tuberculosis"
"010.11","Tuberculosis"
"010.12","Tuberculosis"
"010.13","Tuberculosis"
"010.14","Tuberculosis"
"010.15","Tuberculosis"
"010.16","Tuberculosis"
"010.17","Tuberculosis"
"010.18","Tuberculosis"
"010.19","Tuberculosis"
"010.2","Tuberculosis"
"010.20","Tuberculosis"
"010.21","Tuberculosis"
"010.22","Tuberculosis"
"010.23","Tuberculosis"
"010.24","Tuberculosis"
"010.25","Tuberculosis"
"010.26","Tuberculosis"
"010.27","Tuberculosis"
"010.28","Tuberculosis"
"010.29","Tuberculosis"
"010.3","Tuberculosis"
"010.30","Tuberculosis"
"010.31","Tuberculosis"
"010.32","Tuberculosis"
"010.33","Tuberculosis"
"010.34","Tuberculosis"
"010.35","Tuberculosis"
"010.36","Tuberculosis"
"010.37","Tuberculosis"
"010.38","Tuberculosis"
"010.39","Tuberculosis"
"010.4","Tuberculosis"
"010.40","Tuberculosis"
"010.41","Tuberculosis"
"010.42","Tuberculosis"
"010.43","Tuberculosis"
"010.44","Tuberculosis"
"010.45","Tuberculosis"
"010.46","Tuberculosis"
"010.47","Tuberculosis"
"010.48","Tuberculosis"
"010.49","Tuberculosis"
"010.5","Tuberculosis"
"010.50","Tuberculosis"
"010.51","Tuberculosis"
"010.52","Tuberculosis"
"010.53","Tuberculosis"
"010.54","Tuberculosis"
"010.55","Tuberculosis"
"010.56","Tuberculosis"
"010.57","Tuberculosis"
"010.58","Tuberculosis"
"010.59","Tuberculosis"
"010.6","Tuberculosis"
"010.60","Tuberculosis"
"010.61","Tuberculosis"
"010.62","Tuberculosis"
"010.63","Tuberculosis"
"010.64","Tuberculosis"
"010.65","Tuberculosis"
"010.66","Tuberculosis"
"010.67","Tuberculosis"
"010.68","Tuberculosis"
"010.69","Tuberculosis"
"010.7","Tuberculosis"
"010.70","Tuberculosis"
"010.71","Tuberculosis"
"010.72","Tuberculosis"
"010.73","Tuberculosis"
"010.74","Tuberculosis"
"010.75","Tuberculosis"
"010.76","Tuberculosis"
"010.77","Tuberculosis"
"010.78","Tuberculosis"
"010.79","Tuberculosis"
"010.8","Tuberculosis"
"010.80","Tuberculosis"
"010.81","Tuberculosis"
"010.82","Tuberculosis"
"010.83","Tuberculosis"
"010.84","Tuberculosis"
"010.85","Tuberculosis"
"010.86","Tuberculosis"
"010.87","Tuberculosis"
"010.88","Tuberculosis"
"010.89","Tuberculosis"
"010.9","Tuberculosis"
"010.90","Tuberculosis"
"010.91","Tuberculosis"
"010.92","Tuberculosis"
"010.93","Tuberculosis"
"010.94","Tuberculosis"
"010.95","Tuberculosis"
"010.96","Tuberculosis"
"010.97","Tuberculosis"
"010.98","Tuberculosis"
"010.99","Tuberculosis"
"011","Tuberculosis"
"011.0","Tuberculosis"
"011.00","Tuberculosis"
"011.01","Tuberculosis"
"011.02","Tuberculosis"
"011.03","Tuberculosis"
"011.04","Tuberculosis"
"011.05","Tuberculosis"
"011.06","Tuberculosis"
"011.07","Tuberculosis"
"011.08","Tuberculosis"
"011.09","Tuberculosis"
"011.1","Tuberculosis"
"011.10","Tuberculosis"
"011.11","Tuberculosis"
"011.12","Tuberculosis"
"011.13","Tuberculosis"
"011.14","Tuberculosis"
"011.15","Tuberculosis"
"011.16","Tuberculosis"
"011.17","Tuberculosis"
"011.18","Tuberculosis"
"011.19","Tuberculosis"
"011.2","Tuberculosis"
"011.20","Tuberculosis"
"011.21","Tuberculosis"
"011.22","Tuberculosis"
"011.23","Tuberculosis"
"011.24","Tuberculosis"
"011.25","Tuberculosis"
"011.26","Tuberculosis"
"011.27","Tuberculosis"
"011.28","Tuberculosis"
"011.29","Tuberculosis"
"011.3","Tuberculosis"
"011.30","Tuberculosis"
"011.31","Tuberculosis"
"011.32","Tuberculosis"
"011.33","Tuberculosis"
"011.34","Tuberculosis"
"011.35","Tuberculosis"
"011.36","Tuberculosis"
"011.37","Tuberculosis"
"011.38","Tuberculosis"
"011.39","Tuberculosis"
"011.4","Tuberculosis"
"011.40","Tuberculosis"
"011.41","Tuberculosis"
"011.42","Tuberculosis"
"011.43","Tuberculosis"
"011.44","Tuberculosis"
"011.45","Tuberculosis"
"011.46","Tuberculosis"
"011.47","Tuberculosis"
"011.48","Tuberculosis"
"011.49","Tuberculosis"
"011.5","Tuberculosis"
"011.50","Tuberculosis"
"011.51","Tuberculosis"
"011.52","Tuberculosis"
"011.53","Tuberculosis"
"011.54","Tuberculosis"
"011.55","Tuberculosis"
"011.56","Tuberculosis"
"011.57","Tuberculosis"
"011.58","Tuberculosis"
"011.59","Tuberculosis"
"011.6","Tuberculosis"
"011.60","Tuberculosis"
"011.61","Tuberculosis"
"011.62","Tuberculosis"
"011.63","Tuberculosis"
"011.64","Tuberculosis"
"011.65","Tuberculosis"
"011.66","Tuberculosis"
"011.67","Tuberculosis"
"011.68","Tuberculosis"
"011.69","Tuberculosis"
"011.7","Tuberculosis"
"011.70","Tuberculosis"
"011.71","Tuberculosis"
"011.72","Tuberculosis"
"011.73","Tuberculosis"
"011.74","Tuberculosis"
"011.75","Tuberculosis"
"011.76","Tuberculosis"
"011.77","Tuberculosis"
"011.78","Tuberculosis"
"011.79","Tuberculosis"
"011.8","Tuberculosis"
"011.80","Tuberculosis"
"011.81","Tuberculosis"
"011.82","Tuberculosis"
"011.83","Tuberculosis"
"011.84","Tuberculosis"
"011.85","Tuberculosis"
"011.86","Tuberculosis"
"011.87","Tuberculosis"
"011.88","Tuberculosis"
"011.89","Tuberculosis"
"011.9","Tuberculosis"
"011.90","Tuberculosis"
"011.91","Tuberculosis"
"011.92","Tuberculosis"
"011.93","Tuberculosis"
"011.94","Tuberculosis"
"011.95","Tuberculosis"
"011.96","Tuberculosis"
"011.97","Tuberculosis"
"011.98","Tuberculosis"
"011.99","Tuberculosis"
"012","Tuberculosis"
"012.0","Tuberculosis"
"012.00","Tuberculosis"
"012.01","Tuberculosis"
"012.02","Tuberculosis"
"012.03","Tuberculosis"
"012.04","Tuberculosis"
"012.05","Tuberculosis"
"012.06","Tuberculosis"
"012.07","Tuberculosis"
"012.08","Tuberculosis"
"012.09","Tuberculosis"
"012.1","Tuberculosis"
"012.10","Tuberculosis"
"012.11","Tuberculosis"
"012.12","Tuberculosis"
"012.13","Tuberculosis"
"012.14","Tuberculosis"
"012.15","Tuberculosis"
"012.16","Tuberculosis"
"012.17","Tuberculosis"
"012.18","Tuberculosis"
"012.19","Tuberculosis"
"012.2","Tuberculosis"
"012.20","Tuberculosis"
"012.21","Tuberculosis"
"012.22","Tuberculosis"
"012.23","Tuberculosis"
"012.24","Tuberculosis"
"012.25","Tuberculosis"
"012.26","Tuberculosis"
"012.27","Tuberculosis"
"012.28","Tuberculosis"
"012.29","Tuberculosis"
"012.3","Tuberculosis"
"012.30","Tuberculosis"
"012.31","Tuberculosis"
"012.32","Tuberculosis"
"012.33","Tuberculosis"
"012.34","Tuberculosis"
"012.35","Tuberculosis"
"012.36","Tuberculosis"
"012.37","Tuberculosis"
"012.38","Tuberculosis"
"012.39","Tuberculosis"
"012.4","Tuberculosis"
"012.40","Tuberculosis"
"012.41","Tuberculosis"
"012.42","Tuberculosis"
"012.43","Tuberculosis"
"012.44","Tuberculosis"
"012.45","Tuberculosis"
"012.46","Tuberculosis"
"012.47","Tuberculosis"
"012.48","Tuberculosis"
"012.49","Tuberculosis"
"012.5","Tuberculosis"
"012.50","Tuberculosis"
"012.51","Tuberculosis"
"012.52","Tuberculosis"
"012.53","Tuberculosis"
"012.54","Tuberculosis"
"012.55","Tuberculosis"
"012.56","Tuberculosis"
"012.57","Tuberculosis"
"012.58","Tuberculosis"
"012.59","Tuberculosis"
"012.6","Tuberculosis"
"012.60","Tuberculosis"
"012.61","Tuberculosis"
"012.62","Tuberculosis"
"012.63","Tuberculosis"
"012.64","Tuberculosis"
"012.65","Tuberculosis"
"012.66","Tuberculosis"
"012.67","Tuberculosis"
"012.68","Tuberculosis"
"012.69","Tuberculosis"
"012.7","Tuberculosis"
"012.70","Tuberculosis"
"012.71","Tuberculosis"
"012.72","Tuberculosis"
"012.73","Tuberculosis"
"012.74","Tuberculosis"
"012.75","Tuberculosis"
"012.76","Tuberculosis"
"012.77","Tuberculosis"
"012.78","Tuberculosis"
"012.79","Tuberculosis"
"012.8","Tuberculosis"
"012.80","Tuberculosis"
"012.81","Tuberculosis"
"012.82","Tuberculosis"
"012.83","Tuberculosis"
"012.84","Tuberculosis"
"012.85","Tuberculosis"
"012.86","Tuberculosis"
"012.87","Tuberculosis"
"012.88","Tuberculosis"
"012.89","Tuberculosis"
"012.9","Tuberculosis"
"012.90","Tuberculosis"
"012.91","Tuberculosis"
"012.92","Tuberculosis"
"012.93","Tuberculosis"
"012.94","Tuberculosis"
"012.95","Tuberculosis"
"012.96","Tuberculosis"
"012.97","Tuberculosis"
"012.98","Tuberculosis"
"012.99","Tuberculosis"
"013","Tuberculosis"
"013.0","Tuberculosis"
"013.00","Tuberculosis"
"013.01","Tuberculosis"
"013.02","Tuberculosis"
"013.03","Tuberculosis"
"013.04","Tuberculosis"
"013.05","Tuberculosis"
"013.06","Tuberculosis"
"013.07","Tuberculosis"
"013.08","Tuberculosis"
"013.09","Tuberculosis"
"013.1","Tuberculosis"
"013.10","Tuberculosis"
"013.11","Tuberculosis"
"013.12","Tuberculosis"
"013.13","Tuberculosis"
"013.14","Tuberculosis"
"013.15","Tuberculosis"
"013.16","Tuberculosis"
"013.17","Tuberculosis"
"013.18","Tuberculosis"
"013.19","Tuberculosis"
"013.2","Tuberculosis"
"013.20","Tuberculosis"
"013.21","Tuberculosis"
"013.22","Tuberculosis"
"013.23","Tuberculosis"
"013.24","Tuberculosis"
"013.25","Tuberculosis"
"013.26","Tuberculosis"
"013.27","Tuberculosis"
"013.28","Tuberculosis"
"013.29","Tuberculosis"
"013.3","Tuberculosis"
"013.30","Tuberculosis"
"013.31","Tuberculosis"
"013.32","Tuberculosis"
"013.33","Tuberculosis"
"013.34","Tuberculosis"
"013.35","Tuberculosis"
"013.36","Tuberculosis"
"013.37","Tuberculosis"
"013.38","Tuberculosis"
"013.39","Tuberculosis"
"013.4","Tuberculosis"
"013.40","Tuberculosis"
"013.41","Tuberculosis"
"013.42","Tuberculosis"
"013.43","Tuberculosis"
"013.44","Tuberculosis"
