Year,Sex,Age,Estimate
1981,Both,0,68529
1981,Male,0,35263
1981,Female,0,33266
1982,Both,0,66594
1982,Male,0,34004
1982,Female,0,32590
1983,Both,0,65110
1983,Male,0,33411
1983,Female,0,31699
1984,Both,0,63669
1984,Male,0,32620
1984,Female,0,31049
1985,Both,0,65438
1985,Male,0,33374
1985,Female,0,32064
1986,Both,0,66348
1986,Male,0,34047
1986,Female,0,32301
1987,Both,0,65484
1987,Male,0,33500
1987,Female,0,31984
1988,Both,0,66230
1988,Male,0,34131
1988,Female,0,32099
1989,Both,0,64188
1989,Male,0,32885
1989,Female,0,31303
1990,Both,0,63621
1990,Male,0,32541
1990,Female,0,31080
1991,Both,0,65741
1991,Male,0,33658
1991,Female,0,32083
1992,Both,0,66533
1992,Male,0,33922
1992,Female,0,32611
1993,Both,0,64020
1993,Male,0,32624
1993,Female,0,31396
1994,Both,0,62810
1994,Male,0,32108
1994,Female,0,30702
1995,Both,0,60234
1995,Male,0,30808
1995,Female,0,29426
1996,Both,0,58511
1996,Male,0,30016
1996,Female,0,28495
1997,Both,0,59640
1997,Male,0,30648
1997,Female,0,28992
1998,Both,0,57565
1998,Male,0,29525
1998,Female,0,28040
1999,Both,0,56213
1999,Male,0,28762
1999,Female,0,27451
2000,Both,0,53411
2000,Male,0,27576
2000,Female,0,25835
2001,Both,0,52027
2001,Male,0,26345
2001,Female,0,25682
2002,Both,0,51198
2002,Male,0,26115
2002,Female,0,25083
2003,Both,0,51783
2003,Male,0,26464
2003,Female,0,25319
2004,Both,0,53628
2004,Male,0,27629
2004,Female,0,25999
2005,Both,0,54502
2005,Male,0,28093
2005,Female,0,26409
2006,Both,0,55117
2006,Male,0,28202
2006,Female,0,26915
2007,Both,0,57040
2007,Male,0,29319
2007,Female,0,27721
2008,Both,0,59546
2008,Male,0,30335
2008,Female,0,29211
2009,Both,0,59653
2009,Male,0,30517
2009,Female,0,29136
2010,Both,0,59347
2010,Male,0,30092
2010,Female,0,29255
2011,Both,0,60365
2011,Male,0,30877
2011,Female,0,29488
2012,Both,0,58547
2012,Male,0,30103
2012,Female,0,28444
2013,Both,0,56999
2013,Male,0,29130
2013,Female,0,27869
2014,Both,0,56183
2014,Male,0,28862
2014,Female,0,27321
2015,Both,0,56001
2015,Male,0,28765
2015,Female,0,27236
2016,Both,0,55516
2016,Male,0,28697
2016,Female,0,26819
2017,Both,0,53553
2017,Male,0,27648
2017,Female,0,25905
2018,Both,0,52310
2018,Male,0,26832
2018,Female,0,25478
1981,Both,1,66723
1981,Male,1,34142
1981,Female,1,32581
1982,Both,1,68063
1982,Male,1,35011
1982,Female,1,33052
1983,Both,1,66015
1983,Male,1,33690
1983,Female,1,32325
1984,Both,1,64796
1984,Male,1,33177
1984,Female,1,31619
1985,Both,1,63134
1985,Male,1,32323
1985,Female,1,30811
1986,Both,1,65086
1986,Male,1,33140
1986,Female,1,31946
1987,Both,1,66002
1987,Male,1,33806
1987,Female,1,32196
1988,Both,1,64784
1988,Male,1,33098
1988,Female,1,31686
1989,Both,1,66224
1989,Male,1,34156
1989,Female,1,32068
1990,Both,1,64078
1990,Male,1,32794
1990,Female,1,31284
1991,Both,1,63233
1991,Male,1,32227
1991,Female,1,31006
1992,Both,1,65512
1992,Male,1,33472
1992,Female,1,32040
1993,Both,1,66400
1993,Male,1,33843
1993,Female,1,32557
1994,Both,1,63983
1994,Male,1,32605
1994,Female,1,31378
1995,Both,1,62510
1995,Male,1,31935
1995,Female,1,30575
1996,Both,1,59955
1996,Male,1,30705
1996,Female,1,29250
1997,Both,1,58318
1997,Male,1,29887
1997,Female,1,28431
1998,Both,1,59389
1998,Male,1,30540
1998,Female,1,28849
1999,Both,1,57283
1999,Male,1,29327
1999,Female,1,27956
2000,Both,1,55832
2000,Male,1,28602
2000,Female,1,27230
2001,Both,1,53060
2001,Male,1,27442
2001,Female,1,25618
2002,Both,1,52277
2002,Male,1,26481
