Year,Sex,Total
1981,Both,5180200
1981,Male,2494860
1981,Female,2685340
1982,Both,5164540
1982,Male,2487335
1982,Female,2677205
1983,Both,5148120
1983,Male,2479075
1983,Female,2669045
1984,Both,5138880
1984,Male,2474623
1984,Female,2664257
1985,Both,5127890
1985,Male,2469514
1985,Female,2658376
1986,Both,5111760
1986,Male,2462311
1986,Female,2649449
1987,Both,5099020
1987,Male,2455403
1987,Female,2643617
1988,Both,5077440
1988,Male,2444319
1988,Female,2633121
1989,Both,5078190
1989,Male,2443165
1989,Female,2635025
1990,Both,5081270
1990,Male,2443865
1990,Female,2637405
1991,Both,5083330
1991,Male,2444515
1991,Female,2638815
1992,Both,5085620
1992,Male,2445272
1992,Female,2640348
1993,Both,5092460
1993,Male,2448419
1993,Female,2644041
1994,Both,5102210
1994,Male,2453342
1994,Female,2648868
1995,Both,5103690
1995,Male,2453353
1995,Female,2650337
1996,Both,5092190
1996,Male,2447020
1996,Female,2645170
1997,Both,5083340
1997,Male,2442322
1997,Female,2641018
1998,Both,5077070
1998,Male,2438991
1998,Female,2638079
1999,Both,5071950
1999,Male,2436535
1999,Female,2635415
2000,Both,5062940
2000,Male,2431926
2000,Female,2631014
2001,Both,5064200
2001,Male,2433733
2001,Female,2630467
2002,Both,5066000
2002,Male,2435635
2002,Female,2630365
2003,Both,5068500
2003,Male,2438088
2003,Female,2630412
2004,Both,5084300
2004,Male,2446603
2004,Female,2637697
2005,Both,5110200
2005,Male,2461274
2005,Female,2648926
2006,Both,5133000
2006,Male,2475064
2006,Female,2657936
2007,Both,5170000
2007,Male,2496559
2007,Female,2673441
2008,Both,5202900
2008,Male,2515298
2008,Female,2687602
2009,Both,5231900
2009,Male,2531969
2009,Female,2699931
2010,Both,5262200
2010,Male,2548218
2010,Female,2713982
2011,Both,5299900
2011,Male,2570300
2011,Female,2729600
2012,Both,5313600
2012,Male,2577290
2012,Female,2736310
2013,Both,5327700
2013,Male,2586680
2013,Female,2741020
2014,Both,5347600
2014,Male,2596530
2014,Female,2751070
2015,Both,5373000
2015,Male,2610469
2015,Female,2762531
2016,Both,5404700
2016,Male,2627503
2016,Female,2777197
2017,Both,5424800
2017,Male,2640300
2017,Female,2784500
2018,Both,5438100
2018,Male,2648751
2018,Female,2789349
