category_mvr,prefix,icd_version,code,meaning,notes
Adverse social circumstances,V154,9,V154,V154 Personal history of psychological trauma,
Adverse social circumstances,V155,9,V155,V155 Personal history of injury,
Adverse social circumstances,V159,9,V159,V159 Personal history of unspecified hazard to health,
Adverse social circumstances,V60,9,V60,"V60 Housing, household and economic circumstances",
Adverse social circumstances,V60,9,V600,V600 Lack of housing,
Adverse social circumstances,V60,9,V601,V601 Inadequate housing,
Adverse social circumstances,V60,9,V602,V602 Inadequate material resources,
Adverse social circumstances,V60,9,V603,V603 Person living alone,
Adverse social circumstances,V60,9,V604,V604 No other household member able to render care,
Adverse social circumstances,V60,9,V605,V605 Holiday relief care,
Adverse social circumstances,V60,9,V606,V606 Person living in residential institution,
Adverse social circumstances,V60,9,V608,"V608 Other specified housing, household and economic circumstances",
Adverse social circumstances,V60,9,V609,"V609 Unspecified housing, household and economic circumstances",
Adverse social circumstances,V61,9,V61,V61 Other family circumstances,
Adverse social circumstances,V61,9,V610,V610 Family disruption,
Adverse social circumstances,V61,9,V611,V611 Marital problems,
Adverse social circumstances,V61,9,V612,V612 Parent-child problems,
Adverse social circumstances,V61,9,V613,V613 Problems with aged parents or in-laws,
Adverse social circumstances,V61,9,V614,V614 Health problems within family,
Adverse social circumstances,V61,9,V615,V615 Multiparity,
Adverse social circumstances,V61,9,V616,V616 Illegitimacy or illegitimate pregnancy,
Adverse social circumstances,V61,9,V617,V617 Other unwanted pregnancy,
Adverse social circumstances,V61,9,V618,V618 Other specified family circumstances,
Adverse social circumstances,V61,9,V619,V619 Unspecified family circumstances,
Adverse social circumstances,Z60,10,Z60,Z60 Problems related to social environment,
Adverse social circumstances,Z60,10,Z600,Z60.0 Problems of adjustment to life-cycle transitions,
Adverse social circumstances,Z60,10,Z601,Z60.1 Atypical parenting situation,
Adverse social circumstances,Z60,10,Z602,Z60.2 Living alone,
Adverse social circumstances,Z60,10,Z603,Z60.3 Acculturation difficulty,
Adverse social circumstances,Z60,10,Z604,Z60.4 Social exclusion and rejection,
Adverse social circumstances,Z60,10,Z605,Z60.5 Target of perceived adverse discrimination and persecution,
Adverse social circumstances,Z60,10,Z608,Z60.8 Other problems related to social environment,
Adverse social circumstances,Z60,10,Z609,"Z60.9 Problem related to social environment, unspecified",
Adverse social circumstances,Z61,10,Z61,Z61 Problems related to negative life events in childhood,
Adverse social circumstances,Z61,10,Z610,Z61.0 Loss of love relationship in childhood,
Adverse social circumstances,Z61,10,Z611,Z61.1 Removal from home in childhood,
