category_mvr,mvr_index,icd_version,code_decimal,code
Maltreatment,1,9,995.5,9955
Maltreatment,1,9,E967,E967
Maltreatment,1,9,994.2,9942
Maltreatment,1,9,994.3,9943
Maltreatment,1,10,T74,T74
Maltreatment,1,10,Y06,Y06
Maltreatment,1,10,Y07,Y07
Maltreatment,1,10,T73,T73
Maltreatment,NA,10,T74,T74
Maltreatment,NA,10,T73,T73
Maltreatment,NA,10,Y06,Y06
Maltreatment,NA,10,Y07,Y07
Maltreatment,NA,9,995.5,9955
Maltreatment,NA,9,994.2,9942
Maltreatment,NA,9,994.3,9943
Maltreatment,NA,9,E967,E967
Assault,2,9,E960,E960
Assault,2,9,E961,E961
Assault,2,9,E962,E962
Assault,2,9,E963,E963
Assault,2,9,E964,E964
Assault,2,9,E965,E965
Assault,2,9,E966,E966
Assault,2,9,E968,E968
Assault,2,9,E969,E969
Assault,2,10,X85,X85
Assault,2,10,X86,X86
Assault,2,10,X87,X87
Assault,2,10,X88,X88
Assault,2,10,X89,X89
Assault,2,10,X90,X90
Assault,2,10,X91,X91
Assault,2,10,X92,X92
Assault,2,10,X93,X93
Assault,2,10,X94,X94
Assault,2,10,X95,X95
Assault,2,10,X96,X96
Assault,2,10,X97,X97
Assault,2,10,X98,X98
Assault,2,10,X99,X99
Assault,2,10,Y00,Y00
Assault,2,10,Y01,Y01
Assault,2,10,Y02,Y02
Assault,2,10,Y03,Y03
Assault,2,10,Y04,Y04
Assault,2,10,Y05,Y05
Assault,2,10,Y06,Y06
Assault,2,10,Y07,Y07
Assault,2,10,Y08,Y08
Assault,2,10,Y09,Y09
Assault,NA,10,Y04,Y04
Assault,NA,10,Y05,Y05
Assault,NA,10,X85,X85
Assault,NA,10,X86,X86
Assault,NA,10,X87,X87
Assault,NA,10,X88,X88
Assault,NA,10,X89,X89
Assault,NA,10,X90,X90
Assault,NA,10,X91,X91
Assault,NA,10,X92,X92
Assault,NA,10,X93,X93
Assault,NA,10,X94,X94
Assault,NA,10,X95,X95
Assault,NA,10,X96,X96
Assault,NA,10,X97,X97
Assault,NA,10,X98,X98
Assault,NA,10,X99,X99
Assault,NA,10,Y00,Y00
Assault,NA,10,Y01,Y01
Assault,NA,10,Y02,Y02
Assault,NA,10,Y03,Y03
Assault,NA,10,Y08,Y08
Assault,NA,10,Y09,Y09
Assault,NA,9,E960,E960
Assault,NA,9,E961,E961
Assault,NA,9,E962,E962
Assault,NA,9,E963,E963
Assault,NA,9,E964,E964
Assault,NA,9,E965,E965
Assault,NA,9,E966,E966
Assault,NA,9,E968,E968
Assault,NA,9,E969,E969
Undetermined cause,3,9,E980,E980
Undetermined cause,3,9,E981,E981
Undetermined cause,3,9,E982,E982
Undetermined cause,3,9,E983,E983
Undetermined cause,3,9,E984,E984
Undetermined cause,3,9,E985,E985
Undetermined cause,3,9,E986,E986
Undetermined cause,3,9,E987,E987
Undetermined cause,3,9,E988,E988
Undetermined cause,3,9,E989,E989
Undetermined cause,3,9,V68.2,V682
Undetermined cause,3,9,V70.4,V704
Undetermined cause,3,9,V71.4,V714
Undetermined cause,3,9,V71.5,V715
Undetermined cause,3,9,V71.6,V716
Undetermined cause,3,9,V71.81,V7181
Undetermined cause,3,10,Y10,Y10
Undetermined cause,3,10,Y11,Y11
Undetermined cause,3,10,Y12,Y12
Undetermined cause,3,10,Y13,Y13
Undetermined cause,3,10,Y14,Y14
Undetermined cause,3,10,Y15,Y15
Undetermined cause,3,10,Y16,Y16
Undetermined cause,3,10,Y17,Y17
Undetermined cause,3,10,Y18,Y18
Undetermined cause,3,10,Y19,Y19
Undetermined cause,3,10,Y20,Y20
Undetermined cause,3,10,Y21,Y21
Undetermined cause,3,10,Y22,Y22
Undetermined cause,3,10,Y23,Y23
Undetermined cause,3,10,Y24,Y24
Undetermined cause,3,10,Y25,Y25
Undetermined cause,3,10,Y26,Y26
Undetermined cause,3,10,Y27,Y27
Undetermined cause,3,10,Y28,Y28
Undetermined cause,3,10,Y29,Y29
Undetermined cause,3,10,Y30,Y30
Undetermined cause,3,10,Y31,Y31
Undetermined cause,3,10,Y32,Y32
Undetermined cause,3,10,Y33,Y33
Undetermined cause,3,10,Y34,Y34
Undetermined cause,3,10,Z04.0,Z040
Undetermined cause,3,10,Z04.5,Z045
Undetermined cause,3,10,Z04.8,Z048
Undetermined cause,NA,10,Y20,Y20
Undetermined cause,NA,10,Y21,Y21
Undetermined cause,NA,10,Y22,Y22
Undetermined cause,NA,10,Y23,Y23
Undetermined cause,NA,10,Y24,Y24
Undetermined cause,NA,10,Y25,Y25
Undetermined cause,NA,10,Y26,Y26
Undetermined cause,NA,10,Y27,Y27
Undetermined cause,NA,10,Y28,Y28
