code,ccs_category
X4009,671
X401,671
X402,671
X403,671
X404,671
X405,671
X406,671
X407,671
X408,671
X4099,671
X4108,671
X411,671
X412,671
X413,671
X414,671
X415,671
X416,671
X417,671
X418,671
X419,671
X4208,671
X421,671
X422,671
X423,671
X424,671
X425,671
X426,671
X427,671
X428,671
X4291,671
X4299,671
X430,671
X431,671
X432,671
X433,671
X434,671
X435,671
X436,671
X437,671
X438,671
X4399,671
X4408,671
X4409,671
X441,671
X442,671
X443,671
X444,671
X445,671
X446,671
X447,671
X448,671
X4499,671
X450,671
X451,671
X452,671
X453,671
X454,671
X455,671
X456,671
X457,671
X458,671
X4599,671
X460,671
X461,671
X462,671
X463,671
X464,671
X465,671
X4669,671
X467,671
X468,671
X469,671
X470,671
X471,671
X472,671
X473,671
X474,671
X475,671
X476,671
X477,671
X478,671
X479,671
X480,671
X481,671
X482,671
X483,671
X484,671
X485,671
X486,671
X487,671
X488,671
X489,671
X4909,671
X491,671
X492,671
X493,671
X4948,671
X495,671
X496,671
X497,671
X498,671
X499,671
X6008,662
X6009,662
X601,662
X602,662
X603,662
X604,662
X605,662
X606,662
X607,662
X608,662
X6099,662
X6108,662
X6109,662
X611,662
X612,662
X613,662
X614,662
X615,662
X616,662
X617,662
X6188,662
X6198,662
X6199,662
X6209,662
X621,662
X622,662
X623,662
X624,662
X625,662
X626,662
X627,662
X628,662
X629,662
X630,662
X631,662
X632,662
X633,662
X634,662
X635,662
X636,662
X637,662
X638,662
X6399,662
X6409,662
X641,662
X642,662
X643,662
X644,662
X645,662
X646,662
X647,662
X648,662
X6499,662
X6509,662
X651,662
X652,662
X653,662
X654,662
X655,662
X656,662
X657,662
X658,662
X6598,662
X6599,662
X660,662
X661,662
X662,662
X663,662
X664,662
X665,662
X666,662
X667,662
X668,662
X669,662
X670,662
X671,662
X672,662
X673,662
X674,662
X675,662
X676,662
X677,662
X678,662
X679,662
X680,662
X681,662
X682,662
X683,662
X684,662
X685,662
X686,662
X687,662
X688,662
X689,662
X690,662
X691,662
X692,662
X693,662
X694,662
X695,662
X696,662
X697,662
X698,662
X699,662
X700,662
X701,662
X702,662
X703,662
X704,662
X705,662
X706,662
X707,662
X7089,662
X709,662
X710,662
X711,662
X712,662
X713,662
X714,662
X715,662
X716,662
X717,662
X718,662
X719,662
X720,662
X721,662
X722,662
X723,662
X724,662
X725,662
X726,662
X727,662
X728,662
X729,662
X730,662
X731,662
X732,662
X733,662
X734,662
X735,662
X736,662
X737,662
X738,662
X739,662
X740,662
X741,662
X742,662
X743,662
X744,662
X745,662
X746,662
X747,662
X748,662
X749,662
X750,662
X751,662
X752,662
X753,662
X754,662
X755,662
X756,662
X757,662
X758,662
X759,662
X7609,662
X761,662
X762,662
X763,662
X764,662
X765,662
X766,662
X767,662
X768,662
X769,662
X770,662
X771,662
X772,662
X773,662
X774,662
X775,662
X776,662
X777,662
X778,662
X779,662
X780,662
X781,662
X782,662
X783,662
X784,662
X785,662
X786,662
X787,662
X788,662
X7899,662
X790,662
X791,662
X792,662
X793,662
X794,662
X795,662
X796,662
X797,662
X798,662
X799,662
X800,662
X801,662
X802,662
X803,662
X804,662
X805,662
X806,662
X807,662
X808,662
X809,662
X810,662
X811,662
X812,662
X813,662
X814,662
X815,662
X816,662
X817,662
X818,662
X819,662
X820,662
X821,662
X822,662
X823,662
X824,662
X825,662
X826,662
X827,662
X828,662
X829,662
X830,662
X831,662
X832,662
X833,662
X834,662
X835,662
X836,662
X837,662
X838,662
X839,662
X840,662
X841,662
X842,662
X843,662
X844,662
X845,662
X846,662
X847,662
X848,662
X849,662
Y100,671
Y101,671
Y102,671
Y103,671
Y104,671
Y105,671
Y106,671
Y107,671
Y108,671
Y109,671
Y1109,671
Y111,671
Y112,671
Y113,671
Y114,671
Y115,671
Y116,671
Y117,671
Y118,671
Y119,671
Y120,671
Y121,671
Y122,671
Y123,671
Y124,671
Y125,671
Y126,671
Y127,671
Y128,671
Y129,671
Y130,671
Y131,671
Y132,671
Y133,671
Y134,671
Y135,671
Y136,671
Y137,671
Y138,671
Y139,671
Y140,671
Y141,671
Y142,671
Y143,671
Y144,671
Y145,671
Y146,671
Y147,671
Y148,671
Y149,671
Y150,671
Y151,671
Y152,671
Y153,671
Y154,671
Y155,671
Y156,671
Y157,671
Y158,671
Y159,671
Y160,671
Y161,671
Y162,671
Y163,671
Y164,671
Y165,671
Y166,671
Y167,671
Y168,671
Y169,671
Y170,671
Y171,671
Y172,671
Y173,671
Y174,671
Y175,671
Y176,671
Y177,671
Y178,671
Y179,671
Y180,671
Y181,671
Y182,671
Y183,671
Y184,671
Y185,671
Y186,671
Y187,671
Y188,671
Y189,671
Y190,671
Y191,671
Y192,671
Y193,671
Y194,671
Y195,671
Y196,671
Y197,671
Y198,671
Y199,671
Y200,671
Y201,671
Y202,671
Y203,671
Y204,671
Y205,671
Y206,671
Y207,671
Y208,671
Y209,671
Y210,671
Y211,671
Y212,671
Y213,671
Y214,671
Y215,671
Y216,671
Y217,671
Y218,671
Y219,671
Y220,671
Y221,671
Y222,671
Y223,671
Y224,671
Y225,671
Y226,671
Y227,671
Y228,671
Y229,671
Y230,671
Y231,671
Y232,671
Y233,671
Y234,671
Y235,671
Y236,671
Y237,671
Y238,671
Y239,671
Y240,671
Y241,671
Y242,671
Y243,671
Y244,671
Y245,671
Y246,671
Y247,671
Y248,671
Y249,671
Y250,671
Y251,671
Y252,671
Y253,671
Y254,671
Y255,671
Y256,671
Y257,671
Y258,671
Y259,671
Y260,671
Y261,671
Y262,671
Y263,671
Y264,671
Y265,671
Y266,671
Y267,671
Y268,671
Y269,671
Y270,671
Y271,671
Y272,671
Y273,671
Y274,671
Y275,671
Y276,671
Y277,671
Y278,671
Y279,671
Y280,671
Y281,671
Y282,671
Y283,671
Y284,671
Y2859,671
Y286,671
Y287,671
Y288,671
Y289,671
Y290,671
Y291,671
Y292,671
Y293,671
Y294,671
Y295,671
Y296,671
Y297,671
Y298,671
Y299,671
Y300,671
Y301,671
Y302,671
Y303,671
Y304,671
Y305,671
Y306,671
Y307,671
Y308,671
Y309,671
Y310,671
Y311,671
Y312,671
Y313,671
Y314,671
Y315,671
Y316,671
Y317,671
Y318,671
Y319,671
Y320,671
Y321,671
Y322,671
Y323,671
Y324,671
Y325,671
Y326,671
Y327,671
Y328,671
Y329,671
Y330,671
Y331,671
Y332,671
Y333,671
Y334,671
Y335,671
Y336,671
Y337,671
Y338,671
Y339,671
Y340,671
Y341,671
Y342,671
Y343,671
Y344,671
Y345,671
Y346,671
Y347,671
Y348,671
Y3499,671
F04,653
F060,659
F061,670
F062,659
F064,651
F068,670
F070,653
F079,653
F09,653
F200,659
F201,659
F202,659
F203,659
F205,659
F209,659
F21,659
F24,659
F250,659
F251,659
F258,659
F259,659
F28,659
F29,659
F302,657
F308,657
F309,657
F310,657
F312,657
F314,657
F315,657
F319,657
F320,657
F321,657
F322,657
F323,657
F328,657
F329,657
F330,657
F331,657
F332,657
F333,657
F338,657
F339,657
F340,657
F341,657
F348,657
F349,657
F39,657
F408,651
F409,651
F410,651
F411,651
F413,651
F418,651
F419,651
F422,651
F428,651
F429,651
F430,651
F438,650
F439,650
F440,670
F441,670
F442,670
F444,670
F445,670
F446,670
F447,670
F449,670
F450,670
F451,670
F458,670
F459,670
F481,670
F488,651
F489,651
F502,670
F508,670
F509,670
F513,670
F514,670
F515,670
F518,670
F519,670
F520,670
F521,670
F524,670
F525,670
F526,670
F528,670
F529,670
F530,670
F531,670
F54,670
F59,670
F600,658
F601,658
F602,658
F603,658
F604,658
F605,658
F606,658
F607,658
F609,658
F630,656
F631,656
F632,656
F633,656
F639,656
F640,670
F641,670
F642,655
F648,670
F649,670
F650,670
F651,670
F652,670
F653,670
F654,670
F659,670
F688,670
F69,658
F800,654
F801,654
F802,654
F809,654
F810,654
F812,654
F819,654
F82,654
F840,655
F842,655
F843,655
F845,655
F848,655
F849,655
F88,654
F89,654
F900,652
F901,652
F908,652
F909,652
F910,652
F911,652
F912,652
F913,652
F918,652
F919,652
F930,655
F938,655
F939,655
F940,655
F941,655
F942,655
F948,655
F949,655
F950,655
F951,655
F952,655
F958,655
F959,655
F980,655
F981,655
F983,655
F984,655
F985,654
F988,655
F989,655
F99,670
F010,653
F011,653
F012,653
F013,653
F018,653
F019,653
F020,653
F021,653
F022,653
F023,653
F024,653
F028,653
F03,653
F050,653
F051,653
F058,653
F059,653
F071,653
F072,653
F078,653
F100,660
F101,660
F102,660
F103,660
F104,660
F105,660
F106,660
F107,660
F108,660
F109,660
F110,661
F111,661
F112,661
F113,661
F114,661
F115,661
F116,661
F117,661
F118,661
F119,661
F120,661
F121,661
F122,661
F123,661
F124,661
F125,661
F126,661
F127,661
F128,661
F129,661
F130,661
F131,661
F132,661
F133,661
F134,661
F135,661
F136,661
F137,661
F138,661
F139,661
F140,661
F141,661
F142,661
F143,661
F144,661
F145,661
F146,661
F147,661
F148,661
F149,661
F150,661
F151,661
F152,661
F153,661
F154,661
F155,661
F156,661
F157,661
F158,661
F159,661
F160,661
F161,661
F162,661
F163,661
F164,661
F165,661
F166,661
F167,661
F168,661
F169,661
F170,661
F171,661
F172,661
F173,661
F174,661
F175,661
F176,661
F177,661
F178,661
F179,661
F180,661
F181,661
F182,661
F183,661
F184,661
F185,661
F186,661
F187,661
F188,661
F189,661
F190,661
F191,661
F192,661
F193,661
F194,661
F195,661
F196,661
F197,661
F198,661
F199,661
F204,659
F206,659
F208,659
F220,659
F228,659
F229,659
F230,659
F231,659
F232,659
F233,659
F238,659
F239,659
F252,659
F300,657
F301,657
F311,657
F313,657
F316,657
F317,657
F318,657
F334,657
F400,651
F401,651
F402,651
F412,651
F420,651
F421,651
F443,670
F448,670
F452,670
F453,670
F454,670
F500,670
F501,670
F503,670
F504,670
F505,670
F510,670
F511,670
F512,670
F522,670
F523,670
F527,670
F538,670
F539,670
F55,661
F608,658
F638,656
F655,670
F656,670
F658,670
F660,670
F661,670
F662,670
F668,670
F669,670
F680,670
F681,670
F700,654
F701,654
F708,654
F709,654
F710,654
F711,654
F718,654
F719,654
F720,654
F721,654
F728,654
F729,654
F730,654
F731,654
F738,654
F739,654
F780,654
F781,654
F788,654
F789,654
F790,654
F791,654
F798,654
F799,654
F803,654
F808,654
F811,654
F813,654
F818,654
F841,655
F844,655
F931,655
F932,655
F933,655
F000,653
F001,653
F002,653
F009,653
F063,657
F065,659
F066,657
F067,653
F069,670
F380,657
F381,657
F388,657
F431,651
F432,650
F480,670
F61,658
F620,658
F621,658
F628,658
F629,658
F83,654
F920,670
F928,670
F929,670
F982,655
F986,655
R452,651
R453,651
R454,651
R455,651
R456,651
R457,651
R460,652
R461,652
R462,652
R463,652
R464,652
R465,652
R466,652
R467,652
R468,652
G300,653
G301,653
G308,653
G309,653
G310,653
G311,653
G318,653
R54,653
R480,654
G621,660
I426,660
K292,660
K700,660
K701,660
K702,660
K703,660
K704,660
K709,660
P043,660
Q860,660
O355,661
P044,661
P961,661
P962,661
Z915,662
R780,663
R781,663
R782,663
R783,663
R784,663
R785,663
R786,663
Z046,663
Z133,663
Z134,663
Z728,663
Z865,663
Z914,663
O993,670
Z918,670
R458,663
