chapter,chapter_num,block,prefix,icd_version
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,001,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,002,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,003,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,004,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,005,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,006,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,007,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,008,9
Chapter I Infectious and parasitic diseases (001-139),1,001-009 Intestinal infectious diseases,009,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,010,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,011,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,012,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,013,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,014,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,015,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,016,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,017,9
Chapter I Infectious and parasitic diseases (001-139),1,010-018 Tuberculosis,018,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,020,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,021,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,022,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,023,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,024,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,025,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,026,9
Chapter I Infectious and parasitic diseases (001-139),1,020-027 Zoonotic bacterial diseases,027,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,030,9
