exclusion_index,exclusion_code_decimal,exclusion_code
1,P10,P10
1,P11,P11
1,P12,P12
1,P13,P13
1,P14,P14
1,P15,P15
1,P52.4,P524
1,P52.6,P526
1,P52.8,P528
1,P52.9,P529
2,P05,P05
2,P07,P07
3,P35.2,P352
4,A54.3,A543
5,P39.1,P391
6,Q78.0,Q780
7,Y05,Y05
7,T74.2,T742
8,Y06,Y06
9,D65,D65
9,D66,D66
9,D67,D67
9,D68,D68
9,D69,D69
10,V01,V01
10,V02,V02
10,V03,V03
10,V04,V04
10,V05,V05
10,V06,V06
10,V07,V07
10,V08,V08
10,V09,V09
10,V10,V10
10,V11,V11
10,V12,V12
10,V13,V13
10,V14,V14
10,V15,V15
10,V16,V16
10,V17,V17
10,V18,V18
10,V19,V19
10,V20,V20
10,V21,V21
10,V22,V22
10,V23,V23
10,V24,V24
10,V25,V25
10,V26,V26
10,V27,V27
10,V28,V28
10,V29,V29
10,V30,V30
10,V31,V31
10,V32,V32
10,V33,V33
10,V34,V34
10,V35,V35
10,V36,V36
10,V37,V37
10,V38,V38
10,V39,V39
10,V40,V40
10,V41,V41
10,V42,V42
10,V43,V43
10,V44,V44
10,V45,V45
10,V46,V46
10,V47,V47
10,V48,V48
10,V49,V49
10,V50,V50
10,V51,V51
10,V52,V52
10,V53,V53
10,V54,V54
10,V55,V55
10,V56,V56
10,V57,V57
10,V58,V58
10,V59,V59
10,V60,V60
10,V61,V61
10,V62,V62
10,V63,V63
10,V64,V64
10,V65,V65
10,V66,V66
10,V67,V67
10,V68,V68
10,V69,V69
10,V70,V70
10,V71,V71
10,V72,V72
10,V73,V73
10,V74,V74
10,V75,V75
10,V76,V76
10,V77,V77
10,V78,V78
10,V79,V79
10,V80,V80
10,V81,V81
10,V82,V82
10,V83,V83
10,V84,V84
10,V85,V85
10,V86,V86
10,V87,V87
10,V88,V88
10,V89,V89
10,V90,V90
10,V91,V91
10,V92,V92
10,V93,V93
10,V94,V94
10,V95,V95
10,V96,V96
10,V97,V97
