inclusion_index,inclusion_code,inclusion_code_decimal
1,A60,A60
2,A54,A54
3,N739,N73.9
4,S302,S30.2
5,Z044,Z04.4
7,H356,H35.6
8,S2230,S22.30
8,S2231,S22.31
9,S421,S42.1
10,S065,S06.5
11,S068,S06.8
12,S3631,S36.31
13,X93,X93
13,X94,X94
13,X95,X95
13,X96,X96
13,X99,X99
13,Y00,Y00
14,Y09,Y09
15,Y19,Y19
15,Y26,Y26
15,Y27,Y27
15,Y31,Y31
15,Y32,Y32
15,Y33,Y33
15,Y34,Y34
16,S020,S02.0
17,S120,S12.0
17,S121,S12.1
17,S122,S12.2
17,S127,S12.7
17,S129,S12.9
17,S220,S22.0
17,S221,S22.1
17,S320,S32.0
17,S327,S32.7
18,S066,S06.6
19,S277,S27.7
19,S278,S27.8
19,S279,S27.9
20,S3640,S36.40
20,S3641,S36.41
21,S360,S36.0
22,S140,S14.0
22,S141,S14.1
22,S240,S24.0
22,S241,S24.1
22,S340,S34.0
22,S341,S34.1
22,T060,T06.0
22,T061,T06.1
22,T093,T09.3
23,E43,E043
24,K02,K02
25,L578,L57.8
26,S321,S32.1
26,S322,S32.2
26,S323,S32.3
26,S324,S32.4
26,S325,S32.5
26,S326,S32.6
26,S327,S32.7
26,S328,S32.8
26,T021,T02.1
27,S270,S27.0
27,S271,S27.1
27,S272,S27.2
28,S26,S26
28,S273,S27.3
28,S274,S27.4
28,S275,S27.5
28,S276,S27.6
29,S362,S36.2
29,S368,S36.8
29,S369,S36.9
30,S361,S36.1
31,S370,S37.0
32,T20,T20
33,T21,T21
34,T24,T24
34,T25,T25
35,T29,T29
36,T36,T36
36,T37,T37
36,T38,T38
36,T39,T39
36,T40,T40
36,T41,T41
36,T42,T42
36,T43,T43
36,T44,T44
36,T45,T45
36,T46,T46
36,T47,T47
36,T48,T48
36,T49,T49
36,T50,T50
37,T751,T75.1
38,Z587,Z58.7
39,W67,W67
39,W68,W68
39,W69,W69
39,W70,W70
40,W65,W65
40,W66,W66
41,W73,W73
42,W74,W74
43,Y04,Y04
44,Y10,Y10
44,Y11,Y11
44,Y12,Y12
44,Y13,Y13
44,Y14,Y14
44,Y15,Y15
44,Y16,Y16
44,Y17,Y17
44,Y18,Y18
44,Y19,Y19
45,Y22,Y22
45,Y23,Y23
45,Y24,Y24
45,Y25,Y25
46,Z59,Z59
